# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.190042  ,0.211772  ,0.016652  ,0.667085  ,0.015292  ,0.041482  
0.000000  ,0.175579  ,0.197310  ,0.002190  ,0.652247  ,0.000000  ,0.195352  
0.020000  ,0.149520  ,0.171000  ,0.013641  ,0.663996  ,0.022170  ,0.022301  
0.020000  ,0.247237  ,0.268716  ,0.111358  ,0.764253  ,0.067567  ,0.076173  
0.040000  ,0.221913  ,0.242054  ,0.142829  ,0.796542  ,0.042976  ,0.005082  
0.040000  ,0.251649  ,0.271790  ,0.172565  ,0.827052  ,0.070284  ,-0.080880 
0.060000  ,0.103989  ,0.121566  ,0.087376  ,0.739648  ,0.067873  ,0.070702  
0.060000  ,0.298728  ,0.316305  ,0.282115  ,0.939449  ,0.115832  ,-0.018999 
0.080000  ,0.089551  ,0.103387  ,0.122900  ,0.776096  ,0.084862  ,0.059049  
0.080000  ,0.271461  ,0.285297  ,0.304811  ,0.962736  ,0.089576  ,-0.002587 
0.100000  ,0.241414  ,0.250470  ,0.322065  ,0.980439  ,0.049835  ,0.025645  
0.100000  ,0.092200  ,0.101256  ,0.172851  ,0.827345  ,0.087194  ,-0.006783 
0.120000  ,0.191584  ,0.194711  ,0.332483  ,0.991127  ,0.001837  ,0.005135  
0.120000  ,0.218275  ,0.221402  ,0.359174  ,1.018512  ,0.022674  ,0.077298  
0.140000  ,0.273791  ,0.269782  ,0.468507  ,1.130688  ,0.073888  ,0.024786  
0.140000  ,0.211724  ,0.207715  ,0.406440  ,1.067007  ,0.009544  ,-0.034109 
0.160000  ,0.136288  ,0.123959  ,0.390813  ,1.050974  ,0.068025  ,-0.054115 
0.160000  ,0.287058  ,0.274729  ,0.541582  ,1.205664  ,0.076653  ,-0.045657 
0.180000  ,0.163827  ,0.142385  ,0.463212  ,1.125256  ,0.051820  ,0.073437  
0.180000  ,0.167667  ,0.146225  ,0.467052  ,1.129195  ,0.048294  ,0.033721  
0.200000  ,0.226010  ,0.196267  ,0.571195  ,1.236046  ,0.002991  ,0.032020  
0.200000  ,0.151700  ,0.121957  ,0.496885  ,1.159804  ,0.071233  ,-0.059715 
0.220000  ,0.195478  ,0.157135  ,0.590471  ,1.255823  ,0.039603  ,0.001641  
0.220000  ,0.224464  ,0.186121  ,0.619457  ,1.285563  ,0.012984  ,0.018881  
0.240000  ,0.340664  ,0.293171  ,0.780504  ,1.450797  ,0.086301  ,0.061683  
0.240000  ,0.188433  ,0.140940  ,0.628273  ,1.294608  ,0.055194  ,0.034333  
0.260000  ,0.340419  ,0.283172  ,0.836687  ,1.508441  ,0.076469  ,0.059253  
0.260000  ,0.349683  ,0.292436  ,0.845950  ,1.517945  ,0.084135  ,-0.063729 
0.280000  ,0.303338  ,0.235549  ,0.853549  ,1.525741  ,0.035377  ,-0.100825 
0.280000  ,0.276077  ,0.208289  ,0.826288  ,1.497772  ,0.012818  ,-0.008399 
